Node,Type,CapacityOrDemand
S1,Supplier,654
S2,Supplier,569
S3,Supplier,738
S4,Supplier,681
S5,Supplier,894
S6,Supplier,890
S7,Supplier,834
F1,Factory,353
F2,Factory,308
F3,Factory,524
F4,Factory,420
F5,Factory,676
F6,Factory,693
F7,Factory,414
F8,Factory,621
F9,Factory,659
F10,Factory,539
F11,Factory,654
F12,Factory,678
T1,Store,265
T2,Store,319
T3,Store,273
T4,Store,107
T5,Store,234
T6,Store,294
T7,Store,256
T8,Store,212
T9,Store,382
T10,Store,349
T11,Store,355
T12,Store,212
T13,Store,278
T14,Store,362
T15,Store,380
T16,Store,301
T17,Store,162
T18,Store,296
T19,Store,121
T20,Store,222
T21,Store,300
T22,Store,381
T23,Store,344
T24,Store,245
T25,Store,327
T26,Store,225
T27,Store,392
T28,Store,397
T29,Store,360
T30,Store,217
T31,Store,236
T32,Store,174
T33,Store,336
T34,Store,365
T35,Store,375
T36,Store,268
T37,Store,280
