movieId,title,genres,year,avg_rating,n_ratings,genreIDs_1,genreIDs_2,genreIDs_3,genreIDs_4,genreIDs_5,genreIDs_6,genreIDs_7,genreIDs_8,genreIDs_9,genreIDs_10
1,"Toy Story",Adventure|Animation|Children|Comedy|Fantasy,1995,3.92093023255814,215,1,2,3,4,5,,,,,
2,"Jumanji",Adventure|Children|Fantasy,1995,3.43181818181818,110,1,3,5,,,,,,,
3,"Grumpier Old Men",Comedy|Romance,1995,3.25961538461538,52,4,6,,,,,,,,
4,"Waiting to Exhale",Comedy|Drama|Romance,1995,2.35714285714286,7,4,6,7,,,,,,,
5,"Father of the Bride Part II",Comedy,1995,3.07142857142857,49,4,,,,,,,,,
6,"Heat",Action|Crime|Thriller,1995,3.94607843137255,102,8,9,10,,,,,,,
7,"Sabrina",Comedy|Romance,1995,3.18518518518519,54,4,6,,,,,,,,
8,"Tom and Huck",Adventure|Children,1995,2.875,8,1,3,,,,,,,,
9,"Sudden Death",Action,1995,3.125,16,8,,,,,,,,,
10,"GoldenEye",Action|Adventure|Thriller,1995,3.49621212121212,132,1,8,10,,,,,,,
11,"American President, The",Comedy|Drama|Romance,1995,3.67142857142857,70,4,6,7,,,,,,,
12,"Dracula: Dead and Loving It",Comedy|Horror,1995,2.42105263157895,19,4,11,,,,,,,,
13,"Balto",Adventure|Animation|Children,1995,3.125,8,1,2,3,,,,,,,
14,"Nixon",Drama,1995,3.83333333333333,18,7,,,,,,,,,
15,"Cutthroat Island",Action|Adventure|Romance,1995,3,13,1,6,8,,,,,,,
16,"Casino",Crime|Drama,1995,3.92682926829268,82,7,9,,,,,,,,
17,"Sense and Sensibility",Drama|Romance,1995,3.77611940298507,67,6,7,,,,,,,,
18,"Four Rooms",Comedy,1995,3.7,20,4,,,,,,,,,
19,"Ace Ventura: When Nature Calls",Comedy,1995,2.72727272727273,88,4,,,,,,,,,
20,"Money Train",Action|Comedy|Crime|Drama|Thriller,1995,2.5,15,4,7,8,9,10,,,,,
21,"Get Shorty",Comedy|Crime|Thriller,1995,3.49438202247191,89,4,9,10,,,,,,,
22,"Copycat",Crime|Drama|Horror|Mystery|Thriller,1995,3.22222222222222,36,7,9,10,11,12,,,,,
23,"Assassins",Action|Crime|Thriller,1995,3.125,16,8,9,10,,,,,,,
24,"Powder",Drama|Sci-Fi,1995,3.125,28,7,13,,,,,,,,
25,"Leaving Las Vegas",Drama|Romance,1995,3.625,76,6,7,,,,,,,,
26,"Othello",Drama,1995,3.5,13,7,,,,,,,,,
27,"Now and Then",Children|Drama,1995,3.33333333333333,9,3,7,,,,,,,,
28,"Persuasion",Drama|Romance,1995,4.22727272727273,11,6,7,,,,,,,,
29,"City of Lost Children, The",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,4.01315789473684,38,1,5,7,12,13,,,,,
30,"Shanghai Triad",Crime|Drama,1995,3,3,7,9,,,,,,,,
31,"Dangerous Minds",Drama,1995,3.18421052631579,38,7,,,,,,,,,
32,"Twelve Monkeys",Mystery|Sci-Fi|Thriller,1995,3.98305084745763,177,10,12,13,,,,,,,
34,"Babe",Children|Drama,1995,3.65234375,128,3,7,,,,,,,,
36,"Dead Man Walking",Crime|Drama,1995,3.83582089552239,67,7,9,,,,,,,,
38,"It Takes Two",Children|Comedy,1995,2.125,4,3,4,,,,,,,,
39,"Clueless",Comedy|Romance,1995,3.29326923076923,104,4,6,,,,,,,,
40,"Cry, the Beloved Country",Drama,1995,4.25,2,7,,,,,,,,,
41,"Richard III",Drama|War,1995,3.7,15,7,14,,,,,,,,
42,"Dead Presidents",Action|Crime|Drama,1995,3,7,7,8,9,,,,,,,
43,"Restoration",Drama,1995,3.1875,8,7,,,,,,,,,
44,"Mortal Kombat",Action|Adventure|Fantasy,1995,2.54347826086957,46,1,5,8,,,,,,,
45,"To Die For",Comedy|Drama|Thriller,1995,3.3125,32,4,7,10,,,,,,,
46,"How to Make an American Quilt",Drama|Romance,1995,3.06666666666667,15,6,7,,,,,,,,
47,"Seven",Mystery|Thriller,1995,3.97536945812808,203,10,12,,,,,,,,
48,"Pocahontas",Animation|Children|Drama|Musical|Romance,1995,3.14705882352941,68,2,3,6,7,15,,,,,
49,"When Night Is Falling",Drama|Romance,1995,3,1,6,7,,,,,,,,
50,"Usual Suspects, The",Crime|Mystery|Thriller,1995,4.23774509803922,204,9,10,12,,,,,,,
52,"Mighty Aphrodite",Comedy|Drama|Romance,1995,3.46428571428571,28,4,6,7,,,,,,,
53,"Lamerica",Adventure|Drama,1994,5,2,1,7,,,,,,,,
