Source,Destination,Cost,Capacity
S1,F1,1792,654
S2,F1,923,654
S3,F1,1874,654
S4,F1,1190,654
S5,F1,808,654
S6,F1,989,654
S7,F1,2559,654
S1,F2,664,654
S2,F2,1057,654
S3,F2,623,654
S4,F2,1516,654
S5,F2,530,654
S6,F2,2564,569
S7,F2,952,569
S1,F3,714,569
S2,F3,1207,569
S3,F3,1549,569
S4,F3,733,569
S5,F3,2790,569
S6,F3,1264,569
S7,F3,1184,569
S1,F4,642,569
S2,F4,1186,569
S3,F4,606,569
S4,F4,1662,738
S5,F4,2252,738
S6,F4,1952,738
S7,F4,706,738
S1,F5,686,738
S2,F5,2288,738
S3,F5,2582,738
S4,F5,1728,738
S5,F5,751,738
S6,F5,2400,738
S7,F5,1277,738
S1,F6,1176,738
S2,F6,2217,681
S3,F6,523,681
S4,F6,611,681
S5,F6,2036,681
S6,F6,1888,681
S7,F6,1710,681
S1,F7,2179,681
S2,F7,2127,681
S3,F7,2297,681
S4,F7,1162,681
S5,F7,2093,681
S6,F7,1780,681
S7,F7,1412,894
S1,F8,641,894
S2,F8,2295,894
S3,F8,1276,894
S4,F8,1898,894
S5,F8,2205,894
S6,F8,741,894
S7,F8,794,894
S1,F9,1764,894
S2,F9,1616,894
S3,F9,2548,894
S4,F9,2338,894
S5,F9,2189,890
S6,F9,618,890
S7,F9,667,890
S1,F10,703,890
S2,F10,2337,890
S3,F10,2669,890
S4,F10,2073,890
S5,F10,803,890
S6,F10,2162,890
S7,F10,753,890
S1,F11,770,890
S2,F11,1974,890
S3,F11,1256,834
S4,F11,2004,834
S5,F11,2223,834
S6,F11,1841,834
S7,F11,2202,834
S1,F12,1040,834
S2,F12,2191,834
S3,F12,2733,834
S4,F12,2494,834
S5,F12,698,834
S6,F12,1343,834
S7,F12,1349,834
F1,T1,2076,353
F2,T1,1875,353
F3,T1,2316,353
F4,T1,1345,353
F5,T1,974,353
F6,T1,699,353
F7,T1,2276,353
F8,T1,973,353
F9,T1,1393,353
F10,T1,1769,353
F11,T1,1026,353
F12,T1,1977,353
F1,T2,1614,353
F2,T2,849,353
